key,value,category
amenity,bench,outdoor
amenity,watering_place,outdoor
attraction,amusement_ride,outdoor
attraction,animal,outdoor
attraction,big_wheel,outdoor
attraction,bumper_boats,outdoor
attraction,bumper_car,outdoor
attraction,bumper_cars,outdoor
attraction,carousel,outdoor
attraction,carriage_ride,outdoor
attraction,dark_ride,outdoor
attraction,drop_tower,outdoor
attraction,haunted_house,outdoor
attraction,maze,outdoor
attraction,playset,outdoor
attraction,pneumatic_slide,outdoor
attraction,roller_coaster,outdoor
attraction,slide,outdoor
attraction,swing_carousel,outdoor
attraction,trampoline,outdoor
attraction,water_ride,outdoor
attraction,water_slide,outdoor
bench,yes,outdoor
denotation,park,outdoor
landuse,recreation_ground,outdoor
leisure,beach_resort,outdoor
leisure,bleachers,outdoor
leisure,dog_park,outdoor
leisure,fishing,outdoor
leisure,garden,outdoor
leisure,ice_rink,outdoor
leisure,marina,outdoor
leisure,miniature_golf,outdoor
leisure,nature_reserve,outdoor
leisure,park,outdoor
leisure,picnic_table,outdoor
leisure,pitch,outdoor
leisure,playground,outdoor
leisure,recreation_ground,outdoor
leisure,water_park,outdoor
natural,beach,outdoor
natural,cave,outdoor
natural,cave_entrance,outdoor
natural,cliff,outdoor
natural,park,outdoor
playground,roundabout,outdoor
playground,seesaw,outdoor
playground,slide,outdoor
playground,slide;spinny;swing,outdoor
playground,springy,outdoor
playground,structure,outdoor
playground:theme,playground,outdoor
shelter_type,picnic_shelter,outdoor
site_type,stadium,outdoor
tourism,picnic_site,outdoor
tourism,viewpoint,outdoor
tourism,zoo,outdoor
water,Piscina,outdoor
water,fishpond,outdoor
water,lake,outdoor
water,lake,outdoor
water,pond,outdoor